ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
COL02000_7C_1,COL02000,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,245000901,3663302960,4832306227,1394503483,284508.563,1677430727,243848.107
COL02000_7A_1,COL02000,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,11236155,187643843,612105569,58053681.15,8109.888,75683733.5,7749.82
COL02000_7B_1,COL02000,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,664559364,16047191585,2925406871,3560021492,1535263.887,4713240568,1858937.016
COL02002_7B_1,COL02002,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,92736930,1244899511,2696982744,514831310.8,82212.723,643917873.2,76191.834
COL02002_7A_1,COL02002,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,15638862,280101380,529967483,72014520.32,10875.918,103445381.1,11620.393
COL02004_7C_1,COL02004,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,246629889,4509405981,7189805730,1327804899,416177.572,1779030991,463318.423
COL02004_7A_1,COL02004,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,393669291,9485871480,4622352048,2320622363,657860.176,2804356776,637230.313
COL02004_7B_1,COL02004,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,238717062,3440930306,5721405991,1429933695,302170.317,1704104911,283646.526
COL02009_7A_1,COL02009,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,16591440,393888962,423057215,104837709.8,17070.288,119947395.1,17416.252
COL02011_7B_1,COL02011,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,102655042,1839734363,2683322003,578429681.7,103823.265,747129790.5,111165.997
COL02011_7A_1,COL02011,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,68089316,786938814,1520376520,356255072.3,52336.141,458411958.3,46534.326
COL02021_7A_1,COL02021,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,30116894,1365154174,1088659622,140775440.4,40991.921,213919719.4,49958.881
COL02021_7C_1,COL02021,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,74424613,2781348904,2220659506,438808772.6,125677.174,546455404.5,129027.946
COL02021_7B_1,COL02021,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,33968055,712475523,1251689340,177450631.2,35209.344,244012105.7,39382.302
COL02034_7C_1,COL02034,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,79356398,662344764,2886400536,323305988.1,45080.552,493501300.7,50226.956
COL02034_7B_1,COL02034,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,488771783,9558136377,4679938381,1501064282,337322.805,3096340431,506674.561
COL02057_7C_1,COL02057,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,369845410,8400383589,6811912502,2407806534,819947.846,2671956222,741710.217
COL02057_7B_1,COL02057,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,301073676,3154606032,9310884293,1978025517,524300.84,2161865277,461912.043
COL02069_7C_1,COL02069,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,45574582,4038495060,760395874,247572348.9,105869.589,341217779.7,128881.604
COL02069_7B_1,COL02069,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,178801150,6246185586,4185988998,1074853585,417212.486,1310561550,737619.187
COL02078_7B_1,COL02078,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,212155385,1981215344,4552374855,1254539026,192016.716,1455183651,160270.046
COL02078_7C_1,COL02078,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,48879441,1341412790,1318883915,273354719.2,55521.804,355438362.6,57842.064
COL02103_7C_1,COL02103,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,217986963,3207863331,4653202001,1077501764,181283.83,1543106707,202348.173
COL02103_7B_1,COL02103,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,230781304,9773580215,4090339322,941431455.7,476479.133,1630243635,653355.03
COL02103_7A_1,COL02103,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,223210256,6554418977,4672322886,787796049.9,238751.121,1571490750,372577.39
COL04181_7J_1_D,COL04181,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,87630456,1416778320,1338781735,311681343.5,104506.746,641688150,233986.667
COL04181_7K_1_D,COL04181,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,5760,30365452,744097580,779830318,176878174.2,63959.341,230105030.7,77140.849
COL05190_7R_1_B,COL05190,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,10789356,469038484,269317687,64147750.91,14875.401,79016304.64,16870.836
COL01120_7C_1,COL01120,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,147102288,3155470576,4539869260,752419913.7,192258.362,1038798389,208629.94
COL01120_7B_1,COL01120,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,272584916,3377468581,6598180343,1478400868,322151.839,1907342115,325114.818
COL01120_7A_1,COL01120,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,79073716,1558648676,2195542798,421664587.8,80392.334,569245843.5,88679.179
