ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
JKT20141_7D_1,JKT20141R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,179651948,934668960,5164430260,911176425.5,92518.162,121792447,97355.039
JKT00001_7C_1,JKT00001,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,307585855,1885752188,8018205400,1826977612,274322.091,2153025085,265224.634
JKT00001_7B_1,JKT00001,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,191921174,994082271,540669896,906280878.1,98538.98,1253673714,99394.334
JKT00001_7A_1,JKT00001,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,40735017,391499159,961593639,220955074.6,25121.686,276836794.4,24519.96
JKT00002_7C_1,JKT00002,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,270538396,5513325054,6834676301,1529917866,432420.173,1867324054,426204.064
JKT00002_7A_1,JKT00002,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,446237815,4296665750,1962214490,2776998756,755427.505,4022616123,698543.424
JKT00002_7B_1,JKT00002,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,343222344,4906337320,8439161612,1885729686,526767.723,2391958053,522376.543
JKT00003_7C_1,JKT00003,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,289880754,2399408025,7249968352,1791705735,407476.061,2024698159,281250.813
JKT00009_7A_1,JKT00009,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,229820321,2284403823,6472497692,1366192923,254228.651,169727481,236309.218
JKT00009_7B_1,JKT00009,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,553246713,7573660140,9019221566,3635672506,980113.42,3826325840,840862.214
JKT00009_7C_1,JKT00009,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,226056232,2164787719,6136155525,1304676778,208792.66,1557975147,18639.059
JKT0009_7C_1,JKT0009,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,869068305,19665132789,2397169352,5370129048,3300362.676,6057464250,4094145.539
JKT00012_7B_1,JKT00012,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,159381874,1249757497,3481714283,822403858.4,115902.543,933553093,98202.113
JKT00012_7C_1,JKT00012,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,74086405,411887199,1671657175,332685942.8,34344.584,459826397.2,29860.407
JKT00012_7A_1,JKT00012,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,15464644,164076634,551598950,55185039.36,6360.766,92540952.58,7509.018
JKT00013_7A_1,JKT00013,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,96547868,1632300540,3236155642,522051190.8,98099.672,750515781.6,99642.816
JKT00013_7C_1,JKT00013,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,229772191,39298926,6323490428,1330346992,302530.837,1657200755,301111.183
JKT00013_7B_1,JKT00013,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,185142323,3487704329,5256077913,991339764,280805.635,1321122628,272625.5
JKT00014_7B_1,JKT00014,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,289646001,5095621903,7159941888,1664046877,442072.445,2055759741,434674.882
JKT00014_7A_1,JKT00014,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,25922445,2716708037,6332946652,1371761598,236233.621,1744054082,227440.803
JKT00014_7C_1,JKT00014,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,49497530,1376068408,298078258,274435440.6,57123.288,352174981.1,60709.419
JKT00015_7C_1,JKT00015,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,40681364,566952002,1380397640,183260422.1,25738.119,262565920.8,26646.427
JKT00016_7A_1,JKT00016,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,308050760,5173348433,7470213649,1913826492,498934.414,2227126419,472694.301
JKT00016_7C_1,JKT00016,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,60808902,506906658,1718460734,348209111,35629.464,428138545.2,36119.477
JKT00016_7B_1,JKT00016,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,55487287,571605342,2654165361,253401563.1,32558.014,370522857.5,36273.737
JKT00022_7B_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,452062911,924168289,6477952346,2706953740,1270728.851,3258718978,1245340.288
JKT00022_7A_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,408040988,7518305113,990578059,246137189,948254.515,299624784,950808.952
JKT00027_7B_1,JKT00027,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,289087368,4936848490,6464646511,1588188668,619163.507,2023980392,597017.544
JKT00027_7A_1,JKT00027,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,158152758,3259886648,6608943976,845400203.3,256170.369,1135282471,276839.519
JKT00026_7A_1,JKT00026,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,274718290,3564756577,7151185007,1607401333,534834.804,1928889655,514507.28
JKT00026_7C_1,JKT00026,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,244056185,4029123611,7094934982,1347376153,474839.508,1721800761,495616.298
JKT00029_7C_1,JKT00029,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,24167661,690954999,615050235,140563954.2,24981.307,167976845.3,27050.028
JKT00029_7A_1,JKT00029,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,229417924,5240734062,3593908503,941324884,254233.340,1576968970,297448.065
JKT00028_7B_1,JKT00028,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,162323562,4927571335,4027346078,920703918.1,275193.182,1188297630,288607.441
JKT00028_7A_1,JKT00028,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,337699480,4346900969,9163615486,2052520321,740889.538,2445429785,725269.24
JKT00028_7C_1,JKT00028,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,182954203,4017087993,6134304761,72959125.6,224112.741,1332540757,293452.713
JKT00040_7C_1,JKT00040,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,145202322,1907123009,4714060682,763346280.4,146180.663,908920093,154068.432
JKT00040_7B_1,JKT00040,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,8625402,207955432,954820019,32529776.64,5736.785,5086998.74,6539.476
JKT00032_7A_1,JKT00032,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,404594435,2459604889,8216374912,1792997663,342862.487,2192534684,39667.681
JKT00032_7B_1,JKT00032,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,142676987,1550386570,4389411180,762224287.7,129680.98,997834833.9,122640.947
JKT00033_7C_1,JKT00033,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,158002857,1936901627,3040264534,82932190,127897.778,95679191,116471.678
JKT00033_7B_1,JKT00033,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,136168688,1612529626,3482485271,592549814.3,92370.688,92194079.8,98698.561
JKT00034_7C_1,JKT00034,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,170881928,3093259507,5770972473,921875529.7,290664.229,1220244390,339554.236
