ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
NYL01331_7C_1,NYL01331,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,103670716,715991158,2781934177,651932131.3,64412.972,736895025.2,58839.306
NYL01331_7B_1,NYL01331,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,62354469,728884291,1628347950,308446036,35674.402,401095958.5,37720.539
NYL02398_7B_1,NYL02398,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,261372626,5602812229,6559944224,1461897839,370813.104,1832131543,370916.553
NYL02403_7C_1,NYL02403,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,236589989,1937313037,9070266972,1343499895,203973.718,1635702833,189570.456
NYL02403_7A_1,NYL02403,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,205671168,1956611066,8514789914,1145196814,182514.837,1406985675,174681.637
NYL02405_7C_1,NYL02405,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,182129394,1178812935,6430144957,1059776897,122622.116,1252861526,115002.062
NYL02405_7B_1,NYL02405,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,124585212,1167784744,4495885065,677291188.2,85029.702,867700678.7,85357.275
NYL02405_7A_1,NYL02405,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,200572844,2383455614,6479954031,1126264717,186337.564,1413913772,186458.802
NYL02425_7B_1,NYL02425,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,175022799,2203799035,5463256466,913857077.2,148302.492,1253892645,165708.209
NYL02425_7A_1,NYL02425,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,97550078,996974352,5395295980,339176423.4,50105.106,637594755.1,66525.369
NYL02426_7B_1,NYL02426,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,144921539,2372951087,7234558076,835843604.5,332624.071,1032241152,324144.301
NYL02427_7B_1,NYL02427,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,194287830,3881692258,4322862748,1240714912,577039.028,1417873105,553770.934
NYL02427_7A_1,NYL02427,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,269477304,4444327875,6151217320,1740160205,770537.716,1964503359,785945.458
NYL02429_7B_1,NYL02429,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,131599598,1700969035,4456922904,709693251.6,103323.726,937377038.3,117224.216
NYL02429_7C_1,NYL02429,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,421494162,2544633880,10566440641,2498803859,416887.633,2889457172,376391.984
NYL05122_7B_1,NYL05122,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,101784029,1674864849,2932983165,624586022.9,110392.808,747219066.9,101721.13
NYL05122_7C_1,NYL05122,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,284851294,7989930276,5461898070,1423111037,747732.695,2087873757,896709.559
NYL05140_7B_1,NYL05140,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,13854958,130449334,968699576,69709553.66,6105.206,95309234.18,7513.125
NYL05140_7A_1,NYL05140,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,73189460,831066893,4057498250,333256515.6,41101.901,508368068.6,50707.131
NYL05141_7B_1,NYL05141,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,18815631,588514516,825552762,101703122.9,17303.56,136130625.5,21246.867
NYL05141_7A_1,NYL05141,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,154861307,2549598801,4016950886,745893978.1,178351.016,1101713515,203839.496
