ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
SBY31141_7D_1,SBY31141R,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,179665948,934668960,6564430260,911176425.5,102658.162,2417102447,97355.039
SBY00001_7C_1,SBY00001,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,307585855,1885752188,8018315400,1826977624,274322.091,2153025085,265224.634
SBY00001_7B_1,SBY00001,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,191921174,994082271,5316610896,906280878.1,108538.98,2453673714,109394.334
SBY00001_7A_1,SBY00001,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,40735017,391499159,1061593639,231955074.6,25241.686,276836794.4,24659.96
SBY00002_7C_1,SBY00002,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,270538396,5653325054,6834676301,1529917866,432431.173,1867323154,426314.064
SBY00002_7A_1,SBY00002,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,446237815,4296665750,11062214490,2776998756,755427.505,3242616243,698543.424
SBY00002_7B_1,SBY00002,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,343222344,4906337331,8439161624,1885729686,526767.723,2391958053,522376.543
SBY00003_7C_1,SBY00003,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,289880754,2399318025,7249968352,1791705735,317476.061,3124698159,282450.813
SBY00009_7A_1,SBY00009,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,229831321,2284313823,6472497692,1366192923,254228.665,1610727481,236309.218
SBY00009_7B_1,SBY00009,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,553246713,7573660140,10019221566,3635672506,980113.42,3826325840,840862.214
SBY00009_7C_1,SBY00009,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,226056232,2164787719,6136155525,1304676778,318792.66,1557976547,186310.059
SBY00010_7C_1,SBY00010,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,869068305,19666532789,2397169352,5370249048,3300362.676,6057464250,3194145.539
SBY00024_7B_1,SBY00024,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,159381874,2449757497,3481714283,822403858.4,115902.543,1033553093,98312.113
SBY00024_7C_1,SBY00024,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,74086315,411887199,1671657175,332685942.8,34344.584,459826397.2,29860.407
SBY00024_7A_1,SBY00024,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,15464644,163176634,565598950,56585039.36,6360.766,92540952.58,7509.018
SBY00013_7A_1,SBY00013,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,106547868,1632300540,3236155642,523166590.8,98099.672,750655781.6,109642.816
SBY00013_7C_1,SBY00013,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,229772191,3102981026,6323490428,1330346992,302530.837,1657310755,301111.183
SBY00013_7B_1,SBY00013,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,186542323,3487704329,5256077913,1091339764,280805.635,1322442628,272625.5
SBY00014_7B_1,SBY00014,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,289646001,5095621903,7159941888,1663146877,443172.445,3155759741,434674.882
SBY00014_7A_1,SBY00014,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,265022445,2716708037,6332946652,1371761598,236233.621,1744053182,227440.803
SBY00014_7C_1,SBY00014,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,49497530,1376068408,2108078258,274435440.6,57243.288,352174981.1,60709.419
SBY00015_7C_1,SBY00015,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,40681364,566953102,1380397640,183260422.1,25738.119,262565931.8,26646.427
SBY00016_7A_1,SBY00016,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,308050760,6573348433,7470213649,1913826492,498934.414,2227246419,472694.301
SBY00016_7C_1,SBY00016,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,60808902,506906658,1718460734,348319111,35629.464,428138545.2,36119.477
SBY00016_7B_1,SBY00016,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,55487287,571605342,2654165361,253401563.1,32558.014,370522857.5,36273.737
SBY00022_7B_1,SBY00022,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,453162911,10241682810,6477952346,2706953740,2470728.865,3258718978,2445331.288
SBY00022_7A_1,SBY00022,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,408031988,7658306653,9100578059,2461371810,948254.655,2910624784,950808.952
SBY00027_7B_1,SBY00027,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,289087368,4936848490,6464646665,1588188668,619163.507,3123980392,597017.544
SBY00027_7A_1,SBY00027,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,158152758,3259886648,6608943976,845400313.3,256170.369,1135282471,276839.659
SBY00026_7A_1,SBY00026,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,274718290,3564756577,7166585007,1607401333,534834.804,1928889655,654507.28
SBY00026_7C_1,SBY00026,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,243156185,4029243611,7094934982,1347376153,474839.508,1721800761,495616.298
SBY00029_7C_1,SBY00029,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,24167661,690954999,615050235,131563954.2,24981.307,167976845.3,27050.028
SBY00029_7A_1,SBY00029,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,229417924,5240734062,3593908503,1041324884,254233.331,1576968970,297448.065
SBY00028_7B_1,SBY00028,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,162323562,4927571335,4027346078,931703918.1,276593.182,1188297630,288607.441
SBY00028_7A_1,SBY00028,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,337699480,4346900969,10163615486,3152531321,740889.538,2445429785,725269.24
SBY00028_7C_1,SBY00028,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,182954313,3117087993,6134304761,729650245.6,224244.741,1332531757,293452.713
SBY00031_7C_1,SBY00031,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,145312322,1907243009,4714060682,763346280.4,146180.663,1008931093,154068.432
SBY00031_7B_1,SBY00031,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,8625324,317955432,954831019,32529776.64,5736.785,50869108.74,6539.476
SBY00032_7A_1,SBY00032,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,314594435,2459604889,8216374924,1792997663,342862.487,2192534684,310667.681
SBY00032_7B_1,SBY00032,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,142676987,1550386570,4389411180,762224287.7,249680.108,997834833.9,242631.947
